"cueanexo","geom"
220006600,"0101000020E6100000D99B5ECF9B5B4EC04B0520A53EF53AC0"
220006700,"0101000020E6100000C499EF74635E4EC0A622D804DC0F3BC0"
220006800,"0101000020E61000004D08E997417A4DC080870775EF793BC0"
220006900,"0101000020E61000008231CB5A2B794DC02477E67A9C7C3BC0"
220006901,"0101000020E61000006F872D8373784DC0F38198863D843BC0"
220007000,"0101000020E61000008B0E48169C784DC0DD9CEE88627E3BC0"
220007100,"0101000020E61000008E14F49C81804DC0710B1AB0D3843BC0"
220007200,"0101000020E6100000F8B64826157A4DC0504DF1A4517F3BC0"
220007400,"0101000020E61000008438F9FBB47B4DC082F0683C15743BC0"
220007500,"0101000020E610000059B379969D7C4DC09077E784EA753BC0"
220007501,"0101000020E6100000504A46051E7B4DC04E41BEF831753BC0"
220007502,"0101000020E6100000140436ACC37B4DC0F7FBD05565743BC0"
220007504,"0101000020E6100000025973FD867B4DC0438EEB14B7763BC0"
220007505,"0101000020E610000043A8966B297C4DC0727A047780733BC0"
220007507,"0101000020E61000000C8042A0737B4DC0C08EDE1098733BC0"
220007508,"0101000020E6100000714BC78A827B4DC074E0A1DC7E733BC0"
220007600,"0101000020E6100000735DAA6CA76A4DC00D3AFDFFF5D53BC0"
220007601,"0101000020E6100000E97958B50B6F4DC0A19F452CDFF03BC0"
220007700,"0101000020E6100000CA71A921F2744DC0DC6A0831B9783BC0"
220007800,"0101000020E6100000C4BE8711F1744DC073DF9E7ACC783BC0"
220007801,"0101000020E6100000DD6FB8C32F764DC0E150BCC15C793BC0"
220007802,"0101000020E6100000764979DB05624DC01445BAEE67513BC0"
220007803,"0101000020E6100000FD946C4602754DC0CBF53A3B44773BC0"
220007900,"0101000020E61000000CC0E85BF7784DC071181770E6843BC0"
220008000,"0101000020E61000008404ABE5F0754DC03055D5854F883BC0"
220008001,"0101000020E61000004D8975A19C724DC0FBCCC3B8AC923BC0"
220008200,"0101000020E6100000F9034FA65D774DC069B3B8E0A3783BC0"
220008300,"0101000020E6100000D091DF83F7744DC0C8E82CF2C2783BC0"
220008400,"0101000020E610000041936CF50E7D4DC02581EC64E6763BC0"
220008600,"0101000020E61000002096B1BCB4804DC0582637880D763BC0"
220008800,"0101000020E6100000A89307FD737D4DC0D0FCAF6CA1723BC0"
220008900,"0101000020E6100000B9BD2C858F7D4DC063846642E7723BC0"
220009000,"0101000020E61000004F305E729A7D4DC0ADFCF39108733BC0"
220009200,"0101000020E61000002E9BABE51A7E4DC07E0529394A723BC0"
220009300,"0101000020E6100000C58CB12C3F894DC0971B6C00C3583BC0"
220009301,"0101000020E61000008C1909DAB58B4DC0748ACE011E583BC0"
220009400,"0101000020E610000040083479B58B4DC0C7E17AA61B583BC0"
220009401,"0101000020E610000093573A626F9B4DC0A8D58795E05C3BC0"
220009500,"0101000020E61000005D26280CC88B4DC00A5F5ED35D523BC0"
220009600,"0101000020E610000040D35BD03B934DC0C17FAC7B24463BC0"
220009900,"0101000020E6100000EBB9F38F9B9D4DC0A2722FDDF6403BC0"
220009901,"0101000020E6100000E0AEE470099B4DC0B7BF6AF4EC443BC0"
220009902,"0101000020E6100000D1F274EE099D4DC0F12D53B8C5353BC0"
220010100,"0101000020E610000078E6BB39068B4DC0F35C4351C55F3BC0"
220010101,"0101000020E61000002ED0E198DD8A4DC0FA69A05208633BC0"
220010104,"0101000020E61000006C8175B06D8C4DC06018C8889E5F3BC0"
220010105,"0101000020E610000055259C294E8B4DC06363C3BA6B5F3BC0"
220010200,"0101000020E6100000B70E3A980A8B4DC0AEF71DF003603BC0"
220010300,"0101000020E61000000F92D428FC9D4EC0BB050F1033A93AC0"
220010500,"0101000020E61000008C8E7DD7EE834EC07559A3E0A83C3AC0"
220010501,"0101000020E6100000FD49641792804EC06CBD01E90F243AC0"
220010503,"0101000020E61000005E2EA7CE06944EC00BC715CF1A463AC0"
220010900,"0101000020E6100000D14D357509984EC069F897EDEAA23AC0"
220011100,"0101000020E6100000017785EB0DA64EC0239D06E7F6A83AC0"
220011200,"0101000020E61000000CE1495A699F4EC0175857B2BABD3AC0"
220011201,"0101000020E610000051320AC969974EC0B334DD58BC993AC0"
220011300,"0101000020E6100000F7F7E11454894EC055C26A209CF53AC0"
220011301,"0101000020E610000052BBB256EE834EC07FA8A7850FF73AC0"
220011400,"0101000020E61000001E23DAE9D7704EC0D80B0EBE2CF13AC0"
220011600,"0101000020E6100000A4E4914029784EC0D852A2815F013BC0"
220011800,"0101000020E61000008F82D802A7834EC03E7770C3D8E53AC0"
220012000,"0101000020E61000002EC5A9434CCC4EC0729D401BAD9C3AC0"
220012001,"0101000020E61000009676CF623FBB4EC09252CF8D64983AC0"
220012002,"0101000020E6100000FD702DD5D6CA4EC051D043F787813AC0"
220012003,"0101000020E6100000DDF84FB8B1AE4EC073C3E4CECB5B3AC0"
220012100,"0101000020E610000076289290A6B54EC01DA33AC3E4693AC0"
220012200,"0101000020E6100000F3C5A0EC50D44EC0BEA94D23F84D3AC0"
220012400,"0101000020E6100000A59B20C73F5B4EC09BB61B16664A3BC0"
220012401,"0101000020E61000000DDD05B0EB5B4EC03D28C328184A3BC0"
220012500,"0101000020E610000068E454BEF85A4EC02A4328A3D7493BC0"
220012502,"0101000020E610000036EA88F8E9594EC0918854FB50473BC0"
220012504,"0101000020E61000004BDC96A8045C4EC0A35924A4CB493BC0"
220012506,"0101000020E6100000BCC6448E875B4EC07EA40CE0584A3BC0"
220012507,"0101000020E610000064E31E67BF5B4EC0DDB4DF7791483BC0"
220012508,"0101000020E6100000119344664D5C4EC00D60CEB952493BC0"
220012600,"0101000020E6100000F57444C7FE5A4EC0F7FEFA22DD493BC0"
220012700,"0101000020E6100000700D3811CB6D4EC084A38F8A75FE3AC0"
220012800,"0101000020E61000002864E022CB6D4EC0D83C2BCC2B1B3BC0"
220012900,"0101000020E6100000C42DBEA9468F4EC0034D55F549E43AC0"
220012901,"0101000020E61000006A06AA7124964EC0CCC5194ABED73AC0"
220013000,"0101000020E610000000EEC77602984EC0891FFCF9F8B43AC0"
220013200,"0101000020E6100000CC9F5693856B4EC0D4312F98B9CC3AC0"
220013201,"0101000020E6100000A94CD99A2D6B4EC09E78945737CF3AC0"
220013202,"0101000020E6100000C8717711EF6B4EC08F82C0043DCC3AC0"
220013400,"0101000020E61000003C609801707B4EC0A315F826FF4A3AC0"
220013600,"0101000020E6100000076F89E88E324EC078C0409B30843BC0"
220013601,"0101000020E6100000D3A1555E95354EC0F1A9B9EF976B3BC0"
220013700,"0101000020E6100000F6551C079A5B4EC029A094CC2B913BC0"
220013701,"0101000020E61000007EAC0D336A594EC05105EA1E8A933BC0"
220013800,"0101000020E61000003E8EDB487A354EC0157C4E28AA6B3BC0"
220014000,"0101000020E6100000F1D931851E604DC029F06909483B3BC0"
220014100,"0101000020E61000006C4096CC5F574DC0B18D21DA060D3BC0"
220014101,"0101000020E61000006AEC3C5E43584DC0B0E49641FF0A3BC0"
220014102,"0101000020E61000002206DDA571524DC0FED3CBCEFF133BC0"
220014200,"0101000020E61000005D4B4E3966574DC017070CDF5E0D3BC0"
220014202,"0101000020E6100000B31CED3D4C584DC0E505589C0F0B3BC0"
220014203,"0101000020E6100000FD40A30A25584DC07FD8F6BA340B3BC0"
220014204,"0101000020E61000003A3855F707564DC0643C5C0DB40C3BC0"
220014206,"0101000020E6100000683F29DB89554DC0B32A43E100113BC0"
220014300,"0101000020E61000005EA9C1D7EF7F4DC0B2C9ACC62F703BC0"
220014400,"0101000020E6100000F2087C3E267F4DC0B52AB20C47753BC0"
220014401,"0101000020E6100000B78081922E394EC000950DD2C1CC3AC0"
220014500,"0101000020E610000032858005257C4DC05643B4D93F7C3BC0"
220014600,"0101000020E6100000668F1BBCC17E4DC02CE3C13F17723BC0"
220014700,"0101000020E610000023623DAFCB804DC02B08A68AAF773BC0"
220014800,"0101000020E610000091298D60137C4DC0DE3DE829BC773BC0"
220014900,"0101000020E61000004AC1A3A9477C4DC0600F4D9BB2793BC0"
220014901,"0101000020E6100000F268FD887C7C4DC030E048FF36793BC0"
220015000,"0101000020E61000009A3F22BBC27B4DC0417C9F84A07A3BC0"
220015001,"0101000020E6100000EFD7D8868A7D4DC0D5E2AAE2F87D3BC0"
220015002,"0101000020E610000014C4AEC1FF7B4DC0EF749ED45E7B3BC0"
220015005,"0101000020E6100000A5A22BBE9E7B4DC092CDDEC8B77A3BC0"
220015006,"0101000020E6100000BB317EB0AA7D4DC05534E06B857C3BC0"
220015007,"0101000020E6100000E41F12C1277D4DC0A2599EA19F7D3BC0"
220015008,"0101000020E610000086DD4700B87E4DC09681C01050793BC0"
220015010,"0101000020E610000066F87C9D4F804DC06F2F3D8F31763BC0"
220015011,"0101000020E61000005750C282657B4DC0B209A516407B3BC0"
220015100,"0101000020E6100000943A0719C07F4DC05306F8A54D703BC0"
220015101,"0101000020E610000045EC5B9BC1974EC09441A44867373BC0"
220015300,"0101000020E610000060B65C5D04804DC0DD1BEC2A4A703BC0"
220015303,"0101000020E6100000D2AE3B8127804DC088BE1838A56D3BC0"
220015304,"0101000020E610000054862B1A38804DC04532F658CD6E3BC0"
220015306,"0101000020E61000000F310B679D814DC0ACC1D3C0B06C3BC0"
220015309,"0101000020E6100000F353738CB77F4DC07446B76009683BC0"
220015310,"0101000020E61000007F1E7EDE887F4DC085B609DBAC6E3BC0"
220015311,"0101000020E6100000F7437C86037F4DC0DD56AFBCB76F3BC0"
220015314,"0101000020E61000007C1AD7BB747F4DC097A14522716D3BC0"
220015317,"0101000020E61000007C483414E27F4DC00EC7DA3F18693BC0"
220015318,"0101000020E6100000B6A2DDC36F7F4DC029F2B91FCC683BC0"
220015319,"0101000020E61000004F3FA7412A7F4DC0F1800FD536703BC0"
220015400,"0101000020E6100000861507935A504EC0B9DE7A7CE3F239C0"
220015401,"0101000020E61000003ACC2DAA3D764EC02DF5480D4FA639C0"
220015402,"0101000020E610000092E15A52D9EC4EC0EF997772BB2739C0"
220015403,"0101000020E610000010E4B54FD9214EC0D2085EB07FA339C0"
220015404,"0101000020E6100000402796538FD74EC0414F646B966C38C0"
220015405,"0101000020E61000009374C7A94B394EC05674DFB5576839C0"
220015406,"0101000020E6100000DAF4031CF4BD4EC08F555E0A0DEF38C0"
220015500,"0101000020E61000001B6CAD65D14F4EC0418B696073F139C0"
220015501,"0101000020E610000051F44DBA49764EC0375E5EC54BA639C0"
220015502,"0101000020E61000004710286106484EC046828EAF4E113AC0"
220015600,"0101000020E6100000B929E97C034E4EC06E5ACCC2A1F239C0"
220015700,"0101000020E6100000AC4356F34E4E4EC03F3112C8BBF339C0"
220015800,"0101000020E6100000722D4859B41B4EC0764CC472A9DE3AC0"
220015801,"0101000020E610000051FD54172D1B4EC04842EE4823E03AC0"
220015802,"0101000020E61000004FE04332341A4EC04A2E95B61EDF3AC0"
220015900,"0101000020E6100000F1399E892C024EC05DC7075F818D3AC0"
